"species","decimalLongitude","decimalLatitude"
"52","Mesophyllum erubescens",174.702917,-38.325133
"53","Mesophyllum erubescens",176.986833,-37.859833
"54","Mesophyllum erubescens",174.765,-41.348333
"55","Mesophyllum erubescens",174.531933,-35.6116
"56","Mesophyllum erubescens",175.053433,-36.8185
"57","Mesophyllum erubescens",173.410617,-34.828
"58","Mesophyllum erubescens",172.71675,-34.435133
"59","Mesophyllum erubescens",-176.68355,-43.798233
"60","Mesophyllum erubescens",-176.705017,-43.815717
"61","Mesophyllum erubescens",173.410617,-34.828
"62","Mesophyllum erubescens",178.050667,-38.705
"63","Mesophyllum erubescens",172.95705,-40.787033
"64","Mesophyllum erubescens",-176.705017,-43.815717
"65","Mesophyllum erubescens",175.053433,-36.8185
"66","Mesophyllum erubescens",172.765783,-40.785733
"67","Mesophyllum erubescens",174.2161,-35.196933
"68","Mesophyllum erubescens",175.053433,-36.8185
"69","Mesophyllum erubescens",174.766667,-41.35
"70","Mesophyllum erubescens",172.928183,-43.628667
"71","Mesophyllum erubescens",172.95705,-40.787033
"72","Mesophyllum erubescens",174.205017,-35.201333
"73","Mesophyllum erubescens",172.676667,-40.5
"74","Mesophyllum erubescens",178.050667,-38.705
"75","Mesophyllum erubescens",172.95215,-40.790883
"76","Mesophyllum erubescens",176.865833,-40.141667
"77","Mesophyllum erubescens",176.874583,-40.120533
"78","Mesophyllum erubescens",178.050667,-38.705
"79","Mesophyllum erubescens",174.824133,-36.376733
"80","Mesophyllum erubescens",173.4009,-41.156533
"81","Mesophyllum erubescens",172.676667,-40.5
"82","Mesophyllum erubescens",178.031933,-38.6836
"83","Mesophyllum erubescens",-176.675,-44
"84","Mesophyllum erubescens",174.920833,-40.87
"85","Mesophyllum erubescens",172.773833,-43.585
"86","Mesophyllum erubescens",173.408283,-41.156917
"87","Mesophyllum erubescens",178.2,-38.596667
"88","Mesophyllum erubescens",174.921,-40.869833
"89","Mesophyllum erubescens",173.408283,-41.156917
"90","Mesophyllum erubescens",172.928183,-43.628667
"91","Mesophyllum erubescens",-176.705017,-43.815717
"92","Mesophyllum erubescens",178.2,-38.596667
"93","Mesophyllum erubescens",172.95705,-40.787033
"94","Mesophyllum erubescens",172.928183,-43.628667
"95","Mesophyllum erubescens",176.874583,-40.120533
"96","Mesophyllum erubescens",176.865833,-40.141667
"97","Mesophyllum erubescens",178.050667,-38.705
"98","Mesophyllum erubescens",172.638333,-43.645833
"99","Mesophyllum erubescens",174.921,-40.869833
"100","Mesophyllum erubescens",172.928183,-43.628667
"101","Mesophyllum erubescens",178.2,-38.596667
"102","Mesophyllum erubescens",173.4009,-41.156533
"103","Mesophyllum erubescens",173.04435,-43.654617
"104","Mesophyllum erubescens",174.921,-40.869833
"105","Mesophyllum erubescens",178.2,-38.596667
"106","Mesophyllum erubescens",178.11,-38.66
"107","Mesophyllum erubescens",172.928183,-43.628667
"108","Mesophyllum erubescens",174.920833,-40.87
"109","Mesophyllum erubescens",178.2,-38.596667
"110","Mesophyllum erubescens",178.2,-38.596667
"111","Mesophyllum erubescens",178.2,-38.596667
"112","Mesophyllum erubescens",178.11,-38.66
"113","Mesophyllum erubescens",178.2,-38.596667
"114","Mesophyllum erubescens",172.928183,-43.628667
"115","Mesophyllum erubescens",178.11,-38.66
"116","Mesophyllum erubescens",174.920833,-40.87
"117","Mesophyllum erubescens",178.050667,-38.705
"118","Mesophyllum erubescens",176.922133,-39.96565
"119","Mesophyllum erubescens",178.2,-38.596667
"120","Mesophyllum erubescens",176.922133,-39.96565
"121","Mesophyllum erubescens",176.865833,-40.141667
"122","Mesophyllum erubescens",172.638333,-43.645833
"123","Mesophyllum erubescens",174.714217,-41.219333
"124","Mesophyllum erubescens",178.050667,-38.705
"125","Mesophyllum erubescens",174.714217,-41.219333
"126","Mesophyllum erubescens",178.11,-38.66
"127","Mesophyllum erubescens",178.2,-38.596667
"128","Mesophyllum erubescens",178.050667,-38.705
"129","Mesophyllum erubescens",176.874583,-40.120533
"130","Mesophyllum erubescens",178.11,-38.66
"131","Mesophyllum erubescens",176.874583,-40.120533
"132","Mesophyllum erubescens",172.779317,-43.621817
"133","Mesophyllum erubescens",178.11,-38.66
"134","Mesophyllum erubescens",176.874583,-40.120533
"135","Mesophyllum erubescens",178.11,-38.66
"136","Mesophyllum erubescens",178.11,-38.66
"137","Mesophyllum erubescens",178.11,-38.66
"138","Mesophyllum erubescens",171.469633,-41.731467
"139","Mesophyllum erubescens",176.922133,-39.96565
"140","Mesophyllum erubescens",176.266767,-40.794383
"141","Mesophyllum erubescens",171.469633,-41.731467
"142","Mesophyllum erubescens",172.961283,-40.784
"143","Mesophyllum erubescens",172.771833,-43.571
"144","Mesophyllum erubescens",173.408283,-41.156917
"145","Mesophyllum erubescens",172.983167,-40.78085
"146","Mesophyllum erubescens",172.9997,-43.645767
"147","Mesophyllum erubescens",178.11,-38.66
"148","Mesophyllum erubescens",172.773833,-43.585
"149","Mesophyllum erubescens",172.961283,-40.784
"150","Mesophyllum erubescens",173.983333,-39.05
"151","Mesophyllum erubescens",176.266767,-40.794383
"152","Mesophyllum erubescens",171.469633,-41.731467
"153","Mesophyllum erubescens",172.723333,-43.623333
"154","Mesophyllum erubescens",171.469633,-41.731467
"155","Mesophyllum erubescens",173.408283,-41.156917
"156","Mesophyllum erubescens",172.95705,-40.787033
"157","Mesophyllum erubescens",173.408283,-41.156917
"158","Mesophyllum erubescens",171.469633,-41.731467
"159","Mesophyllum erubescens",173.4009,-41.156533
"160","Mesophyllum erubescens",171.469633,-41.731467
"161","Mesophyllum erubescens",171.469633,-41.731467
"162","Mesophyllum erubescens",172.95215,-40.790883
"163","Mesophyllum erubescens",172.779317,-43.621817
"164","Mesophyllum erubescens",172.95215,-40.790883
"165","Mesophyllum erubescens",173.4009,-41.156533
"166","Mesophyllum erubescens",172.961283,-40.784
"167","Mesophyllum erubescens",171.273333,-42.315
"168","Mesophyllum erubescens",171.273333,-42.315
"169","Mesophyllum erubescens",171.469633,-41.731467
"170","Mesophyllum erubescens",172.95705,-40.787033
"171","Mesophyllum erubescens",173.9,-39.516667
"172","Mesophyllum erubescens",173.983333,-39.05
"173","Mesophyllum erubescens",172.95705,-40.787033
"174","Mesophyllum erubescens",171.469633,-41.731467
"175","Mesophyllum erubescens",173.363333,-41.183333
"176","Mesophyllum erubescens",172.95705,-40.787033
"177","Mesophyllum erubescens",172.983167,-40.78085
"178","Mesophyllum erubescens",171.273333,-42.315
"179","Mesophyllum erubescens",171.273333,-42.315
"180","Mesophyllum erubescens",171.273333,-42.315
"181","Mesophyllum erubescens",171.273333,-42.315
"182","Mesophyllum erubescens",173.8,-42.266667
"183","Mesophyllum erubescens",172.95215,-40.790883
"184","Mesophyllum erubescens",171.273333,-42.315
"185","Mesophyllum erubescens",171.273333,-42.315
"186","Mesophyllum erubescens",171.273333,-42.315
"187","Mesophyllum erubescens",171.273333,-42.315
"188","Mesophyllum erubescens",171.365,-42.031667
"189","Mesophyllum erubescens",174.283333,-41.733333
"190","Mesophyllum erubescens",172.95705,-40.787033
"191","Mesophyllum erubescens",174.762667,-41.349167
"192","Mesophyllum erubescens",174.821667,-41.345
"193","Mesophyllum erubescens",174.762667,-41.349167
"194","Mesophyllum erubescens",172.95215,-40.790883
"195","Mesophyllum erubescens",174.762667,-41.349167
"196","Mesophyllum erubescens",174.116667,-39
"197","Mesophyllum erubescens",173.9,-39.516667
"198","Mesophyllum erubescens",172.983167,-40.78085
"199","Mesophyllum erubescens",174.762667,-41.349167
"200","Mesophyllum erubescens",173.9,-39.516667
"201","Mesophyllum erubescens",171.273333,-42.315
"202","Mesophyllum erubescens",175.166667,-36.833333
"203","Mesophyllum erubescens",174.821667,-41.345
"204","Mesophyllum erubescens",174.821667,-41.345
"205","Mesophyllum erubescens",174.831667,-41.331667
"206","Mesophyllum erubescens",173.883333,-40.85
"207","Mesophyllum erubescens",174.821667,-41.345
"208","Mesophyllum erubescens",174.762667,-41.349167
"209","Mesophyllum erubescens",174.821667,-41.345
"210","Mesophyllum erubescens",174.762667,-41.349167
"211","Mesophyllum erubescens",174.762667,-41.349167
"212","Mesophyllum erubescens",174.821667,-41.345
"213","Mesophyllum erubescens",173.9,-39.516667
"214","Mesophyllum erubescens",174.821667,-41.345
"215","Mesophyllum erubescens",173.051833,-34.417667
"216","Mesophyllum erubescens",174.766667,-41.350333
"217","Mesophyllum erubescens",174.283333,-41.733333
"218","Mesophyllum erubescens",174.821667,-41.345
"219","Mesophyllum erubescens",174.821667,-41.345
"220","Mesophyllum erubescens",173.51,-42.515
"221","Mesophyllum erubescens",175.549083,-36.601133
"222","Mesophyllum erubescens",178.753167,-37.672333
"223","Mesophyllum erubescens",178.2,-38.596667
"224","Mesophyllum erubescens",173.653833,-34.9355
"225","Mesophyllum erubescens",174.762667,-41.349167
"226","Mesophyllum erubescens",176.865833,-40.141667
"227","Mesophyllum erubescens",173.051833,-34.417667
"228","Mesophyllum erubescens",173.653833,-34.9355
"229","Mesophyllum erubescens",178.2,-38.596667
"230","Mesophyllum erubescens",-176.566667,-43.941667
"231","Mesophyllum erubescens",174.766667,-41.350333
"232","Mesophyllum erubescens",174.762667,-41.349167
"233","Mesophyllum erubescens",178.753167,-37.672333
"234","Mesophyllum erubescens",-176.333333,-44.033333
"235","Mesophyllum erubescens",-176.383083,-44.018683
"236","Mesophyllum erubescens",-38.6,-18.083333
"237","Mesophyllum erubescens",-38.695278,-17.9625
"238","Mesophyllum erubescens",-38.695278,-17.9625
"239","Mesophyllum erubescens",-29.310278,-20.525278
"240","Mesophyllum erubescens",-32.393333,-3.815833
"241","Mesophyllum erubescens",-32.3925,-3.841111
"242","Mesophyllum erubescens",-38.370278,-12.966944
"243","Mesophyllum erubescens",NA,NA
"244","Mesophyllum erubescens",NA,NA
"245","Mesophyllum erubescens",NA,NA
"246","Mesophyllum erubescens",NA,NA
"247","Mesophyllum erubescens",NA,NA
"248","Mesophyllum erubescens",NA,NA
"249","Mesophyllum erubescens",NA,NA
"250","Mesophyllum erubescens",NA,NA
"251","Mesophyllum erubescens",NA,NA
"252","Mesophyllum erubescens",NA,NA
"253","Mesophyllum erubescens",0,0
"254","Mesophyllum erubescens",0,0
"255","Mesophyllum erubescens",0,0
"256","Mesophyllum erubescens",0,0
"257","Mesophyllum erubescens",0,0
"258","Mesophyllum erubescens",0,0
"259","Mesophyllum erubescens",-48.366667,-27.266667
"260","Mesophyllum erubescens",-48.366667,-27.266667
"261","Mesophyllum erubescens",NA,NA
"262","Mesophyllum erubescens",-48.366667,-27.266667
"263","Mesophyllum erubescens",-38.4,-3.566667
"264","Mesophyllum erubescens",-29.316667,-20.5
"265","Mesophyllum erubescens",NA,NA
"266","Mesophyllum erubescens",-46.666667,-24.466667
"267","Mesophyllum erubescens",-32.416667,-3.833333
